render backend: http://127.0.0.1:8080/render
admin data:     http://127.0.0.1:9090/admin/stats
[INFO] thread pool initialized with 16 workers
[23:30:11] 127.0.0.1:50658       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.2ms
[23:30:31] 127.0.0.1:37798       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:31] 127.0.0.1:37808       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.2ms
[23:30:31] 127.0.0.1:37818       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:31] 127.0.0.1:40368       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.9ms
[23:30:31] 127.0.0.1:40372       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.0ms
[23:30:31] 127.0.0.1:40384       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:31] 127.0.0.1:40398       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.2ms
[23:30:31] 127.0.0.1:40412       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:31] 127.0.0.1:40428       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.0ms
[23:30:31] 127.0.0.1:40438       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.3ms
[23:30:31] 127.0.0.1:40444       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:32] 127.0.0.1:40448       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:32] 127.0.0.1:40462       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
[23:30:32] 127.0.0.1:40470       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.9ms
[23:30:32] 127.0.0.1:40472       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:32] 127.0.0.1:40476       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:32] 127.0.0.1:40478       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.9ms
[23:30:32] 127.0.0.1:40486       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:32] 127.0.0.1:40494       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:32] 127.0.0.1:40496       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:32] 127.0.0.1:40508       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.6ms
[23:30:32] 127.0.0.1:40516       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:32] 127.0.0.1:40524       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:32] 127.0.0.1:40534       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:32] 127.0.0.1:40542       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:32] 127.0.0.1:40544       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.4ms
[23:30:32] 127.0.0.1:40556       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.3ms
[23:30:32] 127.0.0.1:40572       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:32] 127.0.0.1:40588       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:32] 127.0.0.1:40604       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:32] 127.0.0.1:40610       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.1ms
